time (hours),protein (mg),cost ($)
0,0.0,78656.66666666667
40,1.0,273967.50342716044
80,2.0,469278.3401876542
120,3.0,664589.176948148
160,4.0,859900.0137086416
200,5.0,1055210.8504691354
240,6.0,1250521.6872296294
280,7.0,1445832.523990123
320,8.0,1641143.3607506168
360,9.0,1836454.1975111105
400,10.0,2031765.0342716041
440,11.0,2227075.871032098
480,12.0,2422386.707792592
520,13.0,2617697.544553085
560,14.0,2813008.381313579
600,15.0,3008319.2180740726
640,16.0,3203630.0548345665
680,17.0,3398940.8915950605
720,18.0,3594251.728355554
760,19.0,3789562.565116048
800,20.0,3984873.4018765413
840,21.0,4180184.2386370352
880,22.0,4375495.07539753
920,23.0,4570805.912158024
960,24.0,4766116.7489185175
1000,25.0,4961427.5856790105
1040,26.0,5156738.422439504
1080,27.0,5352049.259199998
1120,28.0,5547360.095960492
1160,29.0,5742670.932720986
1200,30.0,5937981.769481479
1240,31.0,6133292.606241973
1280,32.0,6328603.443002467
1320,33.0,6523914.279762961
1360,34.0,6719225.116523455
1400,35.0,6914535.953283948
1440,36.0,7109846.790044442
1480,37.0,7305157.626804936
1520,38.0,7500468.46356543
1560,39.0,7695779.300325924
1600,40.0,7891090.137086417
1640,41.0,8086400.9738469105
1680,42.0,8281711.810607404
1720,43.0,8477022.647367897
1760,44.0,8672333.484128391
1800,45.0,8867644.320888884
1840,46.0,9062955.15764938
1880,47.0,9258265.994409872
1920,48.0,9453576.831170367
1960,49.0,9648887.66793086
2000,50.0,9844198.504691353
